tahun ;Beras;Beras Kualitas Medium I;Beras Kualitas Super I;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Daging Sapi Kualitas 2;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 02/ 2022;11;10,65;11,35;28,35;28,35;122,5;122,5;125;42,5;42,5;37,85;37,85;38,35;35;39,15;24,85;21,75;26,65;25,5;15,2;17;14,75
 03/ 2022;11;10,65;11,35;28,35;28,35;127,5;127,5;135;41;41;38;38;57,5;35;61,65;29,9;24,65;32,7;35;15,45;16,5;15,1
 04/ 2022;11;10,65;11,35;29;29;135;135;140;40;40;38,85;38,85;38,35;35;39,15;32,3;28,5;34,6;35;15,75;16,5;15,5
 05/ 2022;11;10,65;11,35;34,15;34,15;135;135;140;48,35;48,35;36,65;36,65;46,65;35;49,15;29,7;21,85;34,7;34,85;15,55;16,5;15,25
 06/ 2022;11,1;10,75;11,4;29,15;29,15;135;135;140;83,35;83,35;37,5;37,5;76,65;35;85;29,85;23,15;33,35;35,5;15,7;16,5;15,4
 07/ 2022;10,9;10,5;11,35;26,6;26,6;135;135;140;72,5;72,5;36,65;36,65;52,9;35;56,65;25,55;15,5;30,95;34,4;15,7;16,5;15,4
 08/ 2022;10,95;10,6;11,35;22,25;22,25;135;135;140;47,5;47,5;37,5;37,5;56,65;56,65;56,65;25,25;15;30,95;33,75;15,65;16;15,4
 09/ 2022;11,35;11,1;11,6;19,95;19,95;132,5;132,5;135;40,5;40,5;36,65;36,65;59,15;59,15;59,15;22,6;14,6;26,55;30,95;15,65;16;15,4
 10/ 2022;11,3;11;11,6;22,15;22,15;132,5;132,5;135;41,65;41,65;35,85;35,85;50,85;50,85;50,85;22,35;14,75;26,55;29,55;15,55;16;15,25
 11/ 2022;11,4;11,15;11,65;24,15;24,15;132,5;132,5;135;47,5;47,5;35,85;35,85;50;50;50;22,45;14,75;26,55;29,85;15,55;16;15,25
 12/ 2022;12,4;12,1;12,65;26;26;132,5;132,5;135;45,65;45,65;35,85;35,85;49,15;49,15;49,15;22,7;16,15;26,45;28,9;15,65;16;15,4
 01/ 2023;12,2;11,85;12,6;22,1;22,1;132,5;132,5;135;44,35;44,35;35,85;35,85;40;40;40;25,9;22,6;27,8;28,9;15,65;16;15,4
 02/ 2023;12,45;12,15;12,65;20,4;20,4;132,5;132,5;135;43,35;43,35;37,5;37,5;60,85;60,85;60,85;24,35;18,85;27,8;28,9;15,85;16;15,65
 03/ 2023;13,4;13,1;13,65;25,35;25,35;130;130;130;40,85;40,85;45,85;45,85;56,65;56,65;56,65;25,8;20,35;29,6;28,9;15,85;16;15,65
 04/ 2023;13,4;13;13,75;24,85;24,85;132,5;132,5;135;46,85;46,85;43,35;43,35;35;35;35;25,35;19,7;29,15;28,45;15,65;16;15,5
 05/ 2023;13,45;13,15;13,75;25,6;25,6;132,5;132,5;135;41,65;41,65;43,15;43,15;34,15;34,15;34,15;25,55;20,05;29,15;28,6;15,75;16;15,65
 06/ 2023;13,3;13;13,6;32,4;32,4;132,5;132,5;135;44,85;44,85;44,35;44,35;50,85;50,85;50,85;24,45;17,4;29,15;28,6;15,7;16;15,6
 07/ 2023;13,2;12,85;13,6;24,35;24,35;132,5;132,5;135;36,85;36,85;48,35;48,35;38,35;38,35;38,35;24,35;17,05;29,15;28,6;15,75;16;15,65
 08/ 2023;13,35;13;13,65;22,65;22,65;132,5;132,5;135;34;34;46,35;46,35;35;35;35;23,9;16,75;28,65;28,6;15,75;16;15,65
 09/ 2023;14,15;13,85;14,5;24,85;24,85;132,5;132,5;135;30,85;30,85;42,5;42,5;40,35;40,35;40,35;23,6;16,15;28,65;28;16,15;16;16,15
 10/ 2023;14,9;14,65;15,1;24;24;132,5;132,5;135;28,35;28,35;42,35;42,35;75,15;75,15;75,15;23,15;16,15;27,8;27,35;17,05;16;17,15
 11/ 2023;14,65;14,4;14,9;25,35;25,35;132,5;132,5;135;34,65;34,65;42,35;42,35;98,35;98,35;98,35;23,3;16,5;27,8;27,35;18,95;17,5;19,1
 12/ 2023;14,5;14,15;14,85;29,05;29,05;132,5;132,5;135;45,85;45,85;43,35;43,35;130;130;130;23,3;16,6;27,8;27,35;19,35;19;19,15
 01/ 2024;14,5;14,1;14,9;30,2;30,2;131,9;131,9;135;42,1;42,1;41,1;41,1;25,45;25,45;25,45;22,45;15,65;27,65;24,55;18,05;19;18
 02/ 2024;17,15;16,65;17,6;30;30;131,9;131,9;135;37,5;37,5;41,7;41,7;51,6;51,6;51,6;23,7;21,5;26,5;23,3;18,45;19;18,4
 03/ 2024;16,7;16,2;17,15;31,3;31,3;132,5;132,5;135;38,85;38,85;53,75;53,75;47,95;47,95;47,95;23,1;18,85;26,75;24,3;20,3;21;20,1
 04/ 2024;15,05;14,5;15,55;30,15;30,15;135;135;135;55,45;55,45;60,45;60,45;63,35;63,35;63,35;23,05;18,45;25,8;25,55;19,85;21;19,7
 05/ 2024;14,6;14,1;15,15;29,8;29,8;135;135;135;48,35;48,35;49,2;49,2;62,95;62,95;62,95;23,1;18,45;25,15;26,5;19,45;21;19,25
 06/ 2024;14,4;13,85;14,95;29,9;29,9;135;135;135;47,1;47,1;49;49;56,25;56,25;56,25;23,5;18,55;25,8;26,8;18,9;21;18,7
 07/ 2024;14,35;13,75;14,95;29,75;29,75;132,5;132,5;135;31,6;31,6;44,6;44,6;70,85;70,85;70,85;23,5;18,6;25,8;26,8;18,8;21;18,6
 08/ 2024;14,8;14,35;15,2;27,15;27,15;132,5;132,5;135;29,2;29,2;45,35;45,35;70,7;70,7;70,7;23,55;18,75;25,8;26,8;18,8;21;18,6
 09/ 2024;14,7;14,45;14,95;26,05;26,05;132,5;132,5;135;37,45;37,45;45,2;45,2;64,6;64,6;64,6;23,75;19,3;25,8;26,8;18,8;20;18,7
 10/ 2024;14,5;14,2;14,8;30,75;30,75;132,5;132,5;135;40,25;40,25;46,25;46,25;48,35;48,35;48,35;24,6;21,7;25,8;26,8;19,3;20;19,2
 11/ 2024;14,55;14,25;14,8;30,5;30,5;132,5;132,5;135;49,6;49,6;47,95;47,95;72,95;72,95;72,95;24,95;21,7;26,65;27,15;19,3;20;19,2
 12/ 2024;14,55;14,25;14,8;33,4;33,4;132,5;132,5;135;45;45;47,95;47,95;50,45;50,45;50,45;25,1;21,7;26,85;27,15;19,55;20;19,45
