tahun ;Beras;Beras Kualitas Bawah I;Beras Kualitas Bawah II;Beras Kualitas Medium I;Beras Kualitas Medium II;Beras Kualitas Super I;Beras Kualitas Super II;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Daging Sapi Kualitas 2;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 11/ 2021;13,3;12,05;11,15;13,8;12,7;16,05;14;37,1;37,1;128,35;133,35;123,35;28,35;28,35;34,15;34,15;43,35;42,5;44,15;20,05;20,15;19,9;20,1;14,35;14,65;14
 12/ 2021;13,55;12,35;11,45;14;12,95;16,2;14,1;40,5;40,5;128,35;133,35;123,35;34,15;34,15;34,5;34,5;89,15;60;118,35;20,45;20,5;20,35;20,5;14,35;14,65;14
 01/ 2022;13,55;12,4;11,5;14;12,95;16,2;14,15;38,85;38,85;128,35;133,35;123,35;31,65;31,65;34,5;34,5;50;53,35;46,65;20,45;20,65;20,35;20,35;14,75;15;14,5
 02/ 2022;13,55;12,4;11,5;14;12,95;16,2;14,15;38,85;38,85;128,35;133,35;123,35;31,65;31,65;34,5;34,5;50;53,35;46,65;20,45;20,65;20,35;20,35;14,75;15;14,5
 03/ 2022;13,45;12,3;11,4;13,95;12,9;16,15;14,1;37,75;37,75;140,85;145,85;135,85;36,65;36,65;38,5;38,5;51,25;40,85;61,65;21,5;21,85;20;20;14,75;15,15;14,35
 04/ 2022;13,45;12,3;11,4;13,95;12,9;16,15;14,1;42,85;42,85;150;155,85;144,15;45,85;45,85;43,35;43,35;46,75;42,65;50,85;24,3;21,35;27;25,65;15,6;16,25;15,35
 05/ 2022;13,4;12,2;11,3;13,9;12,85;16,1;14;37,85;37,85;146,65;152,5;140,85;50,85;50,85;40,85;40,85;65;58,35;71,65;23,45;18,7;25,85;25,85;15,65;16;15,35
 06/ 2022;13,4;12,2;11,3;13,9;12,85;16,1;14,05;38,85;38,85;146,65;152,5;140,85;68,35;68,35;39,15;39,15;101,65;83,35;120;22,1;16,95;25,75;25,35;15,5;15,65;15,35
 07/ 2022;13,4;12,15;11,25;13,85;12,8;16,1;14,05;39,15;39,15;145,85;151,65;140;49,15;49,15;36,65;36,65;70,4;59,15;81,65;21,45;15,6;25,75;25;15,15;15,15;15,15
 08/ 2022;13,65;12,45;11,55;14,1;13,05;16,35;14,3;35,65;35,65;145,85;151,65;140;37,5;37,5;37,5;37,5;57,5;55;60;19,75;15,25;22,2;21,85;15,15;15,15;15,15
 09/ 2022;13,75;12,55;11,65;14,2;13,15;16,55;14,5;35;35;145,85;151,65;140;38,35;38,35;37,15;37,15;55,4;43,35;67,5;19,5;14,75;21,85;21,85;15,15;15,15;15,15
 10/ 2022;13,75;12,55;11,65;14,2;13,15;16,5;14,45;35,65;35,65;142,5;148,35;136,65;38;38;35,5;35,5;44,6;35,85;53,35;19,1;15,6;20,85;20,85;15,15;15,15;15,15
