tahun ;Beras;Beras Kualitas Bawah I;Beras Kualitas Bawah II;Beras Kualitas Medium I;Beras Kualitas Medium II;Beras Kualitas Super I;Beras Kualitas Super II;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 05/ 2023;13,05;10,9;10,5;13,85;13,1;15,25;14,65;37,95;37,95;138,15;138,15;31,75;31,75;35,25;35,25;36,7;34,5;38,9;17,85;15,45;20,65;17,4;14,25;14,1;14,4
 06/ 2023;13,05;10,9;10,5;13,85;13,1;15,25;14,65;37,95;37,95;138,15;138,15;31,75;31,75;35,25;35,25;36,7;34,5;38,9;17,85;15,45;20,65;17,4;14,25;14,1;14,4
 07/ 2023;13,1;11,15;10,65;13,85;13,1;15,25;14,65;31,45;31,45;136,9;136,9;26,75;26,75;37,25;37,25;36,4;34,5;38,25;17,65;15,45;20,5;17;14,75;14,85;14,65
 08/ 2023;13,45;11,15;10,65;14,65;13,95;15,5;14,75;32,5;32,5;136,9;136,9;21,9;21,9;36,4;36,4;37,35;33;41,65;17,55;15,15;20,25;17,15;14,75;14,85;14,65
 09/ 2023;13,45;11,15;10,65;14,65;13,95;15,5;14,75;32,5;32,5;136,9;136,9;21,9;21,9;36,4;36,4;37,35;33;41,65;17,55;15,15;20,25;17,15;14,75;14,85;14,65
 10/ 2023;13,8;11,35;11;15,15;14,15;16;15,15;30,1;30,1;136,9;136,9;21,5;21,5;34,15;34,15;62,1;51,75;72,4;17,6;15,15;20,25;17,4;15,9;15,85;15,95
 11/ 2023;14,1;11,35;11;15,5;14,65;16,25;15,75;29,45;29,45;136,9;136,9;30,4;30,4;32,5;32,5;76,15;60,5;91,75;17,55;15,15;20,15;17,4;16,85;16,7;17
 12/ 2023;14,15;11,35;11;15,5;14,65;16,5;15,75;32,6;32,6;136,9;136,9;38;38;39;39;55,25;33;77,5;17,55;15,15;20,15;17,4;16,85;16,7;17
 01/ 2024;14,15;11,45;11;15,5;14,65;16,5;15,9;32,4;32,4;136,9;136,9;30,15;30,15;37,75;37,75;44,1;42,25;45,9;17,75;15,75;20,15;17,4;17,25;17,35;17,15
 02/ 2024;14,8;12,4;11,5;16;15,25;17,1;16,5;37,7;37,7;136,9;136,9;34,25;34,25;37,25;37,25;74,2;62,15;86,25;17,75;15,65;20,15;17,4;17,15;17,2;17,1
 03/ 2024;14,75;12,4;11,5;16;14,9;17,1;16,5;32,5;32,5;136,9;136,9;35,75;35,75;40,9;40,9;51;48,9;53,15;18,1;16,75;20,15;17,4;17,55;17,7;17,35
 04/ 2024;14,7;12,4;11,5;16;14,9;17;16,4;35,95;35,95;136,9;136,9;48,4;48,4;40,9;40,9;49,35;50,5;48,15;18,5;17,35;20,15;18;18,3;18,2;18,4
 05/ 2024;14,65;12,4;11,5;15,9;14,9;16,75;16,4;36,1;36,1;136,9;136,9;48,25;48,25;41,5;41,5;39,7;39;40,4;18,4;17,15;20;18;18,65;18,8;18,5
 06/ 2024;14,55;12,4;11,5;15,35;14,9;16,85;16,4;33,15;33,15;136,9;136,9;36,5;36,5;40;40;50,65;53,4;47,9;18,35;17,15;19,9;18;18,45;18,45;18,4
 07/ 2024;14,7;12,75;12;15,35;14,75;16,85;16,4;27,45;27,45;136,9;136,9;21,9;21,9;40,15;40,15;59,65;53;66,25;18,4;17,1;19,75;18,25;18,4;18,6;18,15
 08/ 2024;14,75;13,1;12;15,3;14,9;16,95;16,4;30,4;30,4;136,9;136,9;21,65;21,65;40,15;40,15;43,1;38,75;47,4;18,5;17;20;18,4;18,15;18,35;17,9
 09/ 2024;15,05;13,1;12;15,65;15,1;17,45;17;31,9;31,9;136,9;136,9;26,5;26,5;40,15;40,15;42,9;38,65;47,15;18,7;17,65;20;18,4;18,05;18,3;17,75
 10/ 2024;15,05;13,1;12;15,65;15,1;17,45;17;37,1;37,1;136,9;136,9;27;27;40,25;40,25;37,2;26,75;47,65;18,8;17,75;20,25;18,4;18,05;18,3;17,75
 11/ 2024;15,05;13,1;12;15,65;15,1;17,45;17;35,6;35,6;136,9;136,9;33,65;33,65;41,4;41,4;33,2;31,25;35,15;20,05;19,65;21;19,5;18,15;18,55;17,75
 12/ 2024;15,05;13,1;12;15,65;15,1;17,45;17;38,45;38,45;136,9;136,9;39,15;39,15;41,5;41,5;61,55;52,65;70,4;20,05;19,65;21;19,5;18,15;18,55;17,75
